"3698","Harley Hotels","Hotels and Motels",
"3699","Midway Motor Lodge","Hotels and Motels",
"3700","Motel 6","Hotels and Motels",
"3701","La Mansion Del Rio","Hotels and Motels",
"3702","Registry Hotels","Hotels and Motels",
"3703","Residence Inn","Hotels and Motels",
"3704","Royce Hotels","Hotels and Motels",
"3705","Sandman Inn","Hotels and Motels",
"3706","Shilo Inn","Hotels and Motels",
"3707","Shoney's Inn","Hotels and Motels",
"3708","Virgin River Hotel and Casino","Hotels and Motels",
"3709","Super 8 Motels","Hotels and Motels",
"3710","The Ritz-Carlton","Hotels and Motels",
"3711","Flag Inns (Australia)","Hotels and Motels",
"3712","Buffalo Bill's Hotel and Casino","Hotels and Motels",
"3713","Quality Pacific Hotel","Hotels and Motels",
"3714","Four Seasons (Australia) Hotels","Hotels and Motels",
"3715","Fairfield Inn","Hotels and Motels",
"3716","Carlton Hotels","Hotels and Motels",
"3717","City Lodge Hotels","Hotels and Motels",
"3718","Karos Hotels","Hotels and Motels",
"3719","Protea Hotels","Hotels and Motels",
"3720","Southern Sun Hotels","Hotels and Motels",
"3721","Conrad Hotels","Hotels and Motels",
"3722","Wyndham","Hotels and Motels",
"3723","Rica Hotels","Hotels and Motels",
"3724","Inter Nor Hotels","Hotels and Motels",
"3725","Sea Pines Resort","Hotels and Motels",
"3726","Rio Suites","Hotels and Motels",
"3727","Broadmoor Hotel","Hotels and Motels",
"3728","Ballys Hotel and Casino","Hotels and Motels",
"3729","John Ascuagas Nugget","Hotels and Motels",
"3730","MGM Grand Hotel","Hotels and Motels",
"3731","Harrahs Hotels and Casinos","Hotels and Motels",
"3732","Opryland Hotel","Hotels and Motels",
"3733","Boca Raton Resort","Hotels and Motels",
"3734","Harvey Bristol Hotels","Hotels and Motels",
"3735","Masters Economy Inns","Hotels and Motels",
"3736","Colorado Belle Edgewater Resort","Hotels and Motels",
"3737","Riviera Hotel and Casino","Hotels and Motels",
"3738","Tropicana Resort and Casino","Hotels and Motels",
"3739","Woodside Hotels and Resorts","Hotels and Motels",
"3740","TownePlace Suites","Hotels and Motels",
"3741","Millennium Hotels","Hotels and Motels",
"3742","Club Med","Hotels and Motels",
